P_NAME,P_HABZONE,P_TYPE_TEMP,P_TYPE
HATS-61 b,0,Hot,Jovian
HATS-62 b,0,Hot,Jovian
HATS-63 b,0,Hot,Jovian
HATS-64 b,0,Hot,Jovian
HATS-65 b,0,Hot,Jovian
HATS-66 b,0,Hot,Jovian
HATS-67 b,0,Hot,Jovian
HATS-68 b,0,Hot,Jovian
HATS-69 b,0,Hot,Jovian
HATS-7 b,0,Hot,Jovian
HATS-70 b,0,Hot,Jovian
HATS-8 b,0,Hot,Jovian
HATS-9 b,0,Hot,Jovian
HD 100546 b,0,,Jovian
HD 100655 b,0,Hot,Jovian
HD 100777 b,2,Warm,Jovian
HD 10180 c,0,Hot,Neptunian
HD 10180 d,0,Hot,Neptunian
HD 10180 e,0,Hot,Neptunian
HD 10180 f,0,Hot,Neptunian
HD 10180 g,2,Warm,Neptunian
HD 10180 h,0,Cold,Jovian
HD 101930 b,0,Hot,Jovian
HD 102117 b,0,Hot,Jovian
HD 102195 b,0,Hot,Jovian
HD 102272 b,0,Hot,Jovian
HD 102329 b,0,Hot,Jovian
HD 102329 c,0,Hot,Jovian
HD 102365 b,0,Hot,Neptunian
HD 102843 b,0,,Jovian
HD 102956 b,0,Hot,Jovian
HD 103197 b,0,Hot,Neptunian
HD 103720 b,0,Hot,Jovian
HD 103774 b,0,Hot,Jovian
HD 103949 b,0,,Neptunian
HD 104067 b,0,Hot,Jovian
HD 10442 b,2,Warm,Jovian
HD 104985 b,0,Hot,Jovian
HD 106252 b,0,Cold,Jovian
HD 106270 b,2,Warm,Jovian
HD 106315 b,0,Hot,Neptunian
HD 106315 c,0,Hot,Neptunian
HD 10647 b,2,Warm,Jovian
HD 106515 A b,0,Cold,Jovian
HD 106906 b,0,,Jovian
HD 10697 b,2,Warm,Jovian
HD 107148 b,0,Hot,Jovian
HD 108147 b,0,Hot,Jovian
HD 108341 b,0,Cold,Jovian
HD 108863 b,0,Hot,Jovian
HD 108874 b,2,Warm,Jovian
HD 108874 c,0,Cold,Jovian
HD 109246 b,0,Hot,Jovian
HD 109271 b,0,Hot,Neptunian
HD 109271 c,0,Hot,Neptunian
HD 109749 b,0,Hot,Jovian
HD 110014 b,0,Hot,Jovian
HD 111232 b,0,Cold,Jovian
HD 111591 b,0,Hot,Jovian
HD 111998 b,2,Warm,Jovian
HD 113337 b,0,Hot,Jovian
HD 113538 b,0,Cold,Jovian
HD 113538 c,0,Cold,Jovian
HD 113996 b,0,Hot,Jovian
HD 114386 b,0,Cold,Jovian
HD 114613 b,0,Cold,Jovian
HD 114729 b,2,Warm,Jovian
HD 114762 b,0,Hot,Jovian
HD 114783 b,0,,Jovian
HD 114783 c,0,,Jovian
HD 11506 b,0,Cold,Jovian
HD 11506 c,0,Hot,Jovian
HD 116029 b,0,Hot,Jovian
HD 116029 c,0,Hot,Jovian
HD 117207 b,0,Cold,Jovian
HD 11755 b,0,Hot,Jovian
HD 117618 b,0,Hot,Jovian
HD 118203 b,0,Hot,Jovian
HD 119130 b,0,Hot,Neptunian
HD 11964 b,0,Cold,Jovian
HD 11964 c,0,Hot,Neptunian
HD 11977 b,0,Hot,Jovian
HD 120084 b,0,Hot,Jovian
HD 121504 b,0,Hot,Jovian
HD 12484 b,0,Hot,Jovian
HD 125595 b,0,Hot,Superterran
HD 125612 b,2,Warm,Jovian
HD 125612 c,0,Hot,Neptunian
HD 125612 d,0,Cold,Jovian
HD 12648 b,0,Hot,Jovian
HD 126525 b,0,Cold,Jovian
HD 12661 b,0,Hot,Jovian
HD 12661 c,0,Cold,Jovian
HD 126614 b,0,Cold,Jovian
HD 128311 b,0,,Jovian
HD 128311 c,0,,Jovian
HD 128356 b,2,Warm,Jovian
HD 129445 b,0,,Jovian
HD 130322 b,0,Hot,Jovian
HD 131496 b,0,Hot,Jovian
HD 131664 b,0,Cold,Jovian
HD 13167 b,0,Cold,Jovian
HD 13189 b,0,Hot,Jovian
HD 132406 b,2,Warm,Jovian
HD 132563 b,0,Cold,Jovian
HD 133131 A b,2,Warm,Jovian
HD 133131 A c,0,Cold,Jovian
HD 133131 B b,0,Cold,Jovian
HD 134060 b,0,Hot,Neptunian
HD 134060 c,0,Cold,Neptunian
HD 134987 b,0,Hot,Jovian
HD 134987 c,0,Cold,Jovian
HD 136352 b,0,Hot,Terran
HD 136352 c,0,Hot,Neptunian
HD 136352 d,0,Hot,Superterran
HD 136418 b,0,Hot,Jovian
HD 13724 b,0,Cold,Jovian
HD 137388 b,2,Warm,Jovian
HD 13908 b,0,Hot,Jovian
HD 13908 c,2,Warm,Jovian
HD 13931 b,0,Cold,Jovian
HD 139357 b,0,Hot,Jovian
HD 1397 b,0,Hot,Jovian
HD 14067 b,0,Hot,Jovian
HD 141399 b,0,Hot,Jovian
HD 141399 c,0,Hot,Jovian
HD 141399 d,0,Cold,Jovian
HD 141399 e,0,Cold,Jovian
HD 141937 b,2,Warm,Jovian
HD 142 b,0,Hot,Jovian
HD 142 c,0,Cold,Jovian
HD 142022 A b,0,Cold,Jovian
HD 142245 b,1,Warm,Jovian
HD 142415 b,2,Warm,Jovian
HD 143105 b,0,Hot,Jovian
HD 143361 b,0,Cold,Jovian
HD 145377 b,0,Hot,Jovian
HD 145457 b,0,Hot,Jovian
HD 145934 b,0,,Jovian
HD 1461 b,0,Hot,Superterran
HD 1461 c,0,Hot,Superterran
HD 147018 b,0,Hot,Jovian
HD 147018 c,0,Cold,Jovian
HD 147379 b,0,,Neptunian
HD 147513 b,2,Warm,Jovian
HD 14787 b,0,Hot,Jovian
HD 147873 b,0,Hot,Jovian
HD 147873 c,0,Hot,Jovian
HD 148156 b,0,Cold,Jovian
HD 148164 b,0,Hot,Jovian
HD 148164 c,0,Cold,Jovian
HD 148284 b,0,Hot,Jovian
HD 148427 b,0,Hot,Jovian
HD 149026 b,0,Hot,Jovian
HD 149143 b,0,Hot,Jovian
HD 1502 b,0,Hot,Jovian
HD 150706 b,0,Cold,Jovian
HD 152079 b,0,Cold,Jovian
HD 152581 b,0,Hot,Jovian
HD 15337 b,0,Hot,Superterran
HD 15337 c,0,Hot,Superterran
HD 153950 b,2,Warm,Jovian
HD 154345 b,0,Cold,Jovian
HD 154672 b,0,Hot,Jovian
HD 154857 b,0,Hot,Jovian
HD 154857 c,0,Cold,Jovian
HD 155233 b,0,Hot,Jovian
HD 155358 b,0,Hot,Jovian
HD 155358 c,0,Hot,Jovian
HD 156279 b,0,Hot,Jovian
