pl_name,host_star,pl_ltr,sys_stars,sys_planets,sys_moons,disc_method,disc_year,disc_location,disc_facility,orb_period,pl_radius_e,pl_mass_e,pl_density,pl_insol,pl_temp_k,st_type,st_temp_k,st_radius_s,st_mass_s,st_bright,st_gravity,st_age,st_density,ga_lat,ga_long,distance,habit_code,P_HABZONE,P_TYPE_TEMP,P_TYPE
HD 94834 b,HD 94834,b,1,1,0,Radial Velocity,2018,Ground,W. M. Keck Observatory,1576,13.7,400.4658,0.856,,,,4798,4.2,1.11,0.926,3.22,,,64.14631,213.1287,98.1609,0.0,1.0,Warm,Jovian
HD 95086 b,HD 95086,b,1,1,0,Imaging,2013,Ground,Paranal Observatory,,12.9,1589,4.07,,1000,A8 III,7595,1.49,1.6,0.821,4.34,0.017,0.75944,-8.075386,292.8029,86.2279,0.0,0.0,,Jovian
HD 95089 b,HD 95089,b,1,2,0,Radial Velocity,2009,Ground,W. M. Keck Observatory,464.4,13.7,400.4658,0.856,,,,4918,5.08,1.54,1.13,3.24,2.5,,52.94345,251.4125,136.957,0.0,0.0,Hot,Jovian
HD 95089 c,HD 95089,c,1,2,0,Radial Velocity,2018,Ground,W. M. Keck Observatory,1785,13.1,1096.5135,2.68,,,,4918,5.08,1.54,1.13,3.24,,,52.94345,251.4125,136.957,0.0,1.0,Warm,Jovian
HD 95127 b,HD 95127,b,1,1,0,Radial Velocity,2015,Ground,McDonald Observatory,482,12.4,3378.5329,9.74,,,K0,4218,41.01,3.7,2.28,1.78,5.5,,61.99583,169.0374,676.579,0.0,0.0,Hot,Jovian
HD 95338 b,HD 95338,b,1,1,0,Radial Velocity,2020,Ground,Las Campanas Observatory,55.087,3.89,42.44,3.98,7.42,385,K0.5 V,5212,0.87,0.83,-0.31,4.54,5.08,1.68654,2.953957,287.9437,36.9941,0.0,,,
HD 95872 b,HD 95872,b,1,1,0,Radial Velocity,2015,Ground,Multiple Facilities,4375,13,1188.6842,2.97,,,K0 V,5312,0.84,0.7,-0.295,4.43,10,,34.28407,272.3363,72.2195,0.0,0.0,Cold,Jovian
HD 96063 b,HD 96063,b,1,1,0,Radial Velocity,2011,Ground,W. M. Keck Observatory,362.5,13.7,403.6441,0.863,,,,5020,4.75,1.37,1.104,3.33,9,,50.76061,257.7784,140.065,0.0,0.0,Hot,Jovian
HD 96127 b,HD 96127,b,1,1,0,Radial Velocity,2011,Ground,McDonald Observatory,647.29999,12.1,6661.7168,20.7,,,K2 III,3943,51.1,10.94,2.86,2.06,,,62.73553,166.9656,587.659,0.0,0.0,Hot,Jovian
HD 96167 b,HD 96167,b,2,1,0,Radial Velocity,2009,Ground,W. M. Keck Observatory,498.04,14,227.88411,0.456,,,G5,5733,1.94,1.27,0.57,3.99,4.85,,44.5785,264.8085,85.3006,0.0,0.0,Hot,Jovian
HD 97048 b,HD 97048,b,1,1,0,Disk Kinematics,2019,Ground,Atacama Large Millimeter Array (ALMA),,13.3,794.575,1.86,,,Be9.5/AO,10000,2.25,2.4,1.602,,0.003,,-15.914,297.3701,183.857,0.0,,,
HD 97658 b,HD 97658,b,1,1,0,Radial Velocity,2010,Ground,W. M. Keck Observatory,9.4909,2.354,9.5349,3.9,,757,K1,5175,0.74,0.89,-0.434,4.49,6,3.06,68.29536,211.1618,21.5618,0.0,0.0,Hot,Superterran
HD 98219 b,HD 98219,b,1,1,0,Radial Velocity,2011,Ground,W. M. Keck Observatory,433.8,13.4,624.21812,1.43,,,,4925,4.6,1.41,1.049,3.36,4,,34.12273,276.9206,113.704,0.0,0.0,Hot,Jovian
HD 98649 b,HD 98649,b,1,1,0,Radial Velocity,2012,Ground,La Silla Observatory,6022.9725,12.7,2158.0657,5.79,,,G3/G5 V,5790,1.01,1.03,-0.066,4.51,2.42,,35.10717,277.3054,42.1727,0.0,0.0,Cold,Jovian
HD 98736 b,HD 98736,b,2,1,0,Radial Velocity,2018,Ground,W. M. Keck Observatory,968.8,13.3,740.5439,1.73,,,,5271,0.93,0.92,-0.22,,7.39,,67.52363,231.6479,32.4459,0.0,0.0,Cold,Jovian
HD 99109 b,HD 99109,b,1,1,0,Radial Velocity,2005,Ground,W. M. Keck Observatory,439.29999,14.3,139.8452,0.263,,,,5282,0.98,0.76,-0.171,4.34,,,54.48402,263.2386,54.7901,0.0,2.0,Warm,Jovian
HD 99492 b,HD 99492,b,2,1,0,Radial Velocity,2004,Ground,W. M. Keck Observatory,17.0431,5.02,22.2481,0.966,,,K2 V,4815,0.83,0.48,-0.475,4.28,4.8,2.83673,58.50839,259.2795,18.2038,0.0,0.0,Hot,Neptunian
HD 99706 b,HD 99706,b,1,2,0,Radial Velocity,2011,Ground,W. M. Keck Observatory,841,13.7,390.9309,0.835,,,,4862,5.52,1.46,1.188,3.09,2.1,,66.2969,162.2667,146.6,0.0,0.0,Hot,Jovian
HD 99706 c,HD 99706,c,1,2,0,Radial Velocity,2018,Ground,W. M. Keck Observatory,1278,12.8,1808.4527,4.74,,,,,,1.72,,,,,66.2969,162.2667,146.6,0.0,0.0,Hot,Jovian
HIP 105854 b,HIP 105854,b,1,1,0,Radial Velocity,2014,Ground,Multiple Observatories,184.2,12.6,2606.1,7.16,,,K2 III,4780,,2.1,1.67,2.94,,,-46.01461,5.449711,78.6381,0.0,0.0,Hot,Jovian
HIP 107772 b,HIP 107772,b,1,1,0,Radial Velocity,2020,Ground,Multiple Observatories,55.199,3.64,12.9,1.47,,,M0 V,,,0.63,,,,,-50.42732,0.051721,23.6434,0.0,,,
HIP 107773 b,HIP 107773,b,1,1,0,Radial Velocity,2015,Ground,Multiple Observatories,144.3,13.4,629.3034,1.44,,,K1 III,4945,11.6,2.42,1.87,2.6,,,-42.79827,327.4021,105.18,0.0,0.0,Hot,Jovian
HIP 109384 b,HIP 109384,b,1,1,0,Radial Velocity,2016,Ground,Haute-Provence Observatory,499.48,13.5,495.8148,1.11,,,G5,5180,,0.78,,4.43,,,12.4146,110.6427,58.9582,0.0,2.0,Warm,Jovian
HIP 109600 b,HIP 109600,b,2,1,0,Radial Velocity,2016,Ground,Haute-Provence Observatory,232.08,13.2,851.7844,2.04,,,G5,5530,,0.87,,4.45,,,-22.0761,85.76187,66.3361,0.0,1.0,Warm,Jovian
HIP 116454 b,HIP 116454,b,2,1,0,Transit,2014,Space,K2,9.1205,2.466,12.7132,4.17,,690,K1,5089,0.72,0.81,-0.504,4.59,2,3,-56.97291,86.46119,62.4491,0.0,0.0,Hot,Neptunian
HIP 12961 b,HIP 12961,b,1,1,0,Radial Velocity,2010,Ground,La Silla Observatory,57.435,13.2,114.4188,0.273,,,,3901,0.65,0.69,-1.003,4.65,,3.02935,-63.65157,210.5393,23.371,0.0,1.0,Warm,Jovian
HIP 14810 b,HIP 14810,b,1,3,0,Radial Velocity,2005,Ground,W. M. Keck Observatory,6.673892,13,1239.537,3.1,,,G5,5544,1.07,1.01,-0.01,4.32,5.84,1.27778,-31.09457,161.5509,50.48,0.0,0.0,Hot,Jovian
HIP 14810 c,HIP 14810,c,1,3,0,Radial Velocity,2006,Ground,W. M. Keck Observatory,147.747,13.6,416.3573,0.91,,,G5,5544,1.07,1.01,-0.01,4.22,5.84,1.27778,-31.09457,161.5509,50.48,0.0,0.0,Hot,Jovian
HIP 14810 d,HIP 14810,d,1,3,0,Radial Velocity,2009,Ground,W. M. Keck Observatory,981.8,14.1,187.5197,0.368,,,G5,5544,1.07,1.01,-0.01,4.22,5.84,,-31.09457,161.5509,50.48,0.0,0.0,Cold,Jovian
HIP 35173 b,HIP 35173,b,1,1,0,Radial Velocity,2019,Ground,Las Campanas Observatory,41.516,3.61,12.7,1.48,,,K2 V,4881,,0.79,,,,,3.815015,219.0263,33.1562,0.0,0.0,,Neptunian
HIP 38594 b,HIP 38594,b,1,2,0,Radial Velocity,2020,Ground,Multiple Observatories,60.722,2.77,8.1,2.09,,,M0,,,0.61,,,,,1.297482,242.4019,17.7886,0.0,,,
HIP 38594 c,HIP 38594,c,1,2,0,Radial Velocity,2020,Ground,Multiple Observatories,3477.768,7.94,48.4,0.531,,,M0,,,0.61,,,,,1.297482,242.4019,17.7886,0.0,,,
HIP 41378 b,HIP 41378,b,1,5,0,Transit,2016,Space,K2,15.572098,2.9,8.75,1.97,,,,6226,1.34,1.17,0.388,4.18,,0.68,25.64596,214.5264,106.289,0.0,0.0,Hot,
HIP 41378 c,HIP 41378,c,1,5,0,Transit,2016,Space,K2,31.70648,2.56,7.08,2.32,,,,6226,1.34,1.17,0.388,4.18,,0.68,25.64596,214.5264,106.289,0.0,0.0,Hot,
HIP 41378 d,HIP 41378,d,1,5,0,Transit,2016,Space,K2,1114,3.96,14.9,1.32,,,,6226,1.34,1.17,0.388,4.2,4.279,0.68,25.64596,214.5264,106.289,0.0,2.0,Warm,
HIP 41378 e,HIP 41378,e,1,5,0,Transit,2016,Space,K2,131,5.51,26,0.854,,,,6226,1.34,1.17,0.388,4.18,,0.68,25.64596,214.5264,106.289,0.0,0.0,,
HIP 41378 f,HIP 41378,f,1,5,0,Transit,2016,Space,K2,1084,10.2,74,0.383,,,,6226,1.34,1.17,0.388,4.2,4.279,0.68,25.64596,214.5264,106.289,0.0,2.0,Warm,
HIP 4845 b,HIP 4845,b,1,1,0,Radial Velocity,2020,Ground,Multiple Observatories,34.15,3.89,14.4,1.34,,,,,,0.62,,,,,-73.09892,132.1995,21.0974,0.0,,,
HIP 48714 b,HIP 48714,b,1,1,0,Radial Velocity,2020,Ground,Multiple Observatories,17.818,5.11,22.9,0.943,,,M0.5 Ve,,,0.58,,,,,44.3579,149.2181,10.5298,0.0,,,
HIP 5158 b,HIP 5158,b,1,2,0,Radial Velocity,2009,Ground,La Silla Observatory,345.72,13.6,451,0.985,,,,4962,0.75,0.78,-0.959,4.37,6,2.56445,-84.27109,159.0359,51.6026,0.0,2.0,Warm,Jovian
HIP 5158 c,HIP 5158,c,1,2,0,Radial Velocity,2011,Ground,La Silla Observatory,9017.76,12.2,4780.1632,14.5,,,,4813,0.75,0.78,-0.561,4.58,,2.56445,-84.27109,159.0359,51.6026,0.0,0.0,Cold,Jovian
HIP 54373 b,HIP 54373,b,1,2,0,Radial Velocity,2019,Ground,Las Campanas Observatory,7.76,2.87,8.62,2,,,K5 V,4021,,0.57,,,,,37.18522,271.6509,18.7168,0.0,0.0,,Superterran
HIP 54373 c,HIP 54373,c,1,2,0,Radial Velocity,2019,Ground,Las Campanas Observatory,15.144,3.57,12.44,1.5,,,K5 V,4021,,0.57,,,,,37.18522,271.6509,18.7168,0.0,0.0,,Neptunian
HIP 57274 b,HIP 57274,b,1,3,0,Radial Velocity,2011,Ground,W. M. Keck Observatory,8.1352,2.4,6.3566,2.53,,,K4 V,4510,0.78,0.29,0.19,4.11,7.87,1.96681,74.93215,194.2465,25.8618,0.0,0.0,Hot,Superterran
HIP 57274 c,HIP 57274,c,1,3,0,Radial Velocity,2011,Ground,W. M. Keck Observatory,32.03,14.2,130,0.249,,,K4 V,4640,0.68,0.73,0.19,4.71,7.87,,74.93215,194.2465,25.8618,0.0,0.0,Hot,Jovian
HIP 57274 d,HIP 57274,d,1,3,0,Radial Velocity,2011,Ground,W. M. Keck Observatory,431.7,14.2,167.4,0.321,,,K4 V,4640,0.68,0.73,0.19,4.71,7.87,,74.93215,194.2465,25.8618,0.0,0.0,Cold,Jovian
HIP 63242 b,HIP 63242,b,1,1,0,Radial Velocity,2013,Ground,Multiple Observatories,124.6,12.5,2917.56,8.21,,,G8,4830,,1.54,1.63,2.53,,,-2.782157,303.5609,156.456,0.0,0.0,Hot,Jovian
HIP 65 A b,HIP 65 A,b,2,1,0,Transit,2020,Space,Transiting Exoplanet Survey Satellite (TESS),0.9809734,22.754,1021.18779,0.48,661,1411,K4 V,4590,0.72,0.78,-0.678,4.61,4.1,2.898,-60.79598,317.9412,61.7856,0.0,,,
HIP 65407 b,HIP 65407,b,1,2,0,Radial Velocity,2016,Ground,Haute-Provence Observatory,28.125,14.3,136.03124,0.256,,,K0,5460,,0.93,,4.47,,,67.33012,108.799,61.7804,0.0,0.0,Hot,Jovian
HIP 65407 c,HIP 65407,c,1,2,0,Radial Velocity,2016,Ground,Haute-Provence Observatory,67.3,13.9,249.17872,0.51,,,K0,5460,,0.93,,4.47,,,67.33012,108.799,61.7804,0.0,0.0,Hot,Jovian
HIP 65426 b,HIP 65426,b,1,1,0,Imaging,2017,Ground,Paranal Observatory,,16.814,2860.47,3.31,,1500,A2 V,8840,1.77,1.96,1.24,,0.014,,11.02912,308.1788,108.875,0.0,0.0,Cold,Jovian
HIP 65891 b,HIP 65891,b,1,1,0,Radial Velocity,2015,Ground,Multiple Observatories,1084.5,12.8,1906.98,5,,,K0 III,5000,8.93,2.5,1.65,2.9,,,3.823742,307.9937,150.292,0.0,0.0,Hot,Jovian
HIP 67522 b,HIP 67522,b,1,1,0,Transit,2020,Space,Transiting Exoplanet Survey Satellite (TESS),6.959503,10.07,72.4,0.39,,1174,,5675,1.38,1.22,0.243,,0.017,0.65,20.68605,314.7477,127.28,0.0,,,
HIP 67537 b,HIP 67537,b,1,1,0,Radial Velocity,2017,Ground,Multiple Observatories,2556.5,12.4,3527.913,10.2,,,K1 III,4985,8.69,2.41,1.617,2.85,,,21.58312,315.0336,116.046,0.0,1.0,Warm,Jovian
HIP 67851 b,HIP 67851,b,1,2,0,Radial Velocity,2015,Ground,Multiple Observatories,88.9,13.6,438.6054,0.958,,,K0 III,4890,5.92,1.63,1.244,3.15,,,25.83998,317.0504,64.1181,0.0,0.0,Hot,Jovian
HIP 67851 c,HIP 67851,c,1,2,0,Radial Velocity,2015,Ground,Multiple Observatories,2131.8,12.7,2002.2,5.37,,,K0 III,4890,5.92,1.63,1.244,3.15,,,25.83998,317.0504,64.1181,0.0,1.0,Warm,Jovian
HIP 70849 b,HIP 70849,b,2,1,0,Radial Velocity,2009,Ground,La Silla Observatory,17337.5,12.5,2860,8.05,,,K7 V,4105,,0.63,,,3,,13.14521,319.9678,24.0572,0.0,0.0,,Jovian
HIP 71135 b,HIP 71135,b,1,1,0,Radial Velocity,2019,Ground,Las Campanas Observatory,87.19,4.55,18.8,1.1,,,M1,4146,,0.66,,,,,7.209288,318.1159,32.3311,0.0,0.0,,Neptunian
HIP 74890 b,HIP 74890,b,1,1,0,Radial Velocity,2016,Ground,Multiple Observatories,822.3,13.3,762.792,1.78,,,K1 III,4850,5.77,1.74,1.215,3.1,,,13.49314,330.3837,78.6562,0.0,0.0,Hot,Jovian
HIP 78530 b,HIP 78530,b,1,1,0,Imaging,2010,Ground,Gemini Observatory,,12,7300,23.2,,2700,B9 V,10500,2.11,2.5,1.368,4.13,0.005,0.32956,22.681,350.8707,136.759,0.0,0.0,,Jovian
HIP 79098 AB b,HIP 79098 AB,b,2,1,0,Imaging,2019,Ground,Paranal Observatory,,12.1,6515.515,20.2,,2450,,,,3.75,,,0.01,,20.36828,350.7341,145.798,0.0,0.0,,Jovian
HIP 79431 b,HIP 79431,b,1,1,0,Radial Velocity,2009,Ground,W. M. Keck Observatory,111.7,13.4,667.415,1.52,,,,3420,0.48,0.48,-1.549,4.76,,6.12742,22.96958,355.2003,14.5324,0.0,2.0,Warm,Jovian
HIP 8541 b,HIP 8541,b,2,1,0,Radial Velocity,2016,Ground,Multiple Observatories,1560.2,12.8,1748.065,4.58,,,K2 III/IV,4670,7.83,1.17,1.405,2.7,,,-60.62966,285.4714,155.121,0.0,0.0,Hot,Jovian
HIP 91258 b,HIP 91258,b,1,1,0,Radial Velocity,2013,Ground,Haute-Provence Observatory,5.0505,13.7,346.4347,0.74,,,G5 V,5519,0.89,0.97,-0.222,4.53,2.4,,25.3574,91.36225,45.8846,0.0,0.0,Hot,Jovian
HIP 97233 b,HIP 97233,b,1,1,0,Radial Velocity,2014,Ground,Multiple Observatories,1058.8,12.1,6356.3,19.7,,,K0,5020,5.34,1.93,1.204,3.26,,,-12.37072,38.57819,102.275,0.0,0.0,Hot,Jovian
HN Peg b,HN Peg,b,1,1,0,Imaging,2006,Space,Spitzer Space Telescope,,11.777,6991.57,23.5,,,,5927.14,1.01,1.08,0.055,4.46,,1.47538,-28.26933,69.85939,18.1186,0.0,0.0,Cold,Jovian
HR 2562 b,HR 2562,b,1,1,0,Imaging,2016,Ground,Gemini Observatory,,12.442,9534.9,27.2,,1200,F5 V,,,1.3,,,0.6,,-23.4919,270.1757,34.0071,0.0,0.0,,Jovian
HR 5183 b,HR 5183,b,2,1,0,Radial Velocity,2019,Ground,Multiple Observatories,27000,13.1,1026.5909,2.51,,171,,5794,1.53,1.07,0.377,4.02,7.7,,65.3868,337.8486,31.4607,0.0,,,
HR 810 b,HR 810,b,1,1,0,Radial Velocity,1999,Ground,La Silla Observatory,302.79999,13.3,721.4741,1.69,,,,6167,1.13,1.34,0.222,4.46,,,-58.32362,268.8096,17.3181,0.0,0.0,Hot,Jovian
HR 858 b,HR 858,b,2,3,0,Transit,2019,Space,Transiting Exoplanet Survey Satellite (TESS),3.58599,2.085,5,3.03,989.7,1572,,6201,1.31,1.15,0.371,4.26,,0.717,-63.46905,228.1415,31.964,0.0,0.0,Hot,Superterran
HR 858 c,HR 858,c,2,3,0,Transit,2019,Space,Transiting Exoplanet Survey Satellite (TESS),5.97293,1.939,4.42,3.33,512,1326,,6201,1.31,1.15,0.371,4.26,,0.717,-63.46905,228.1415,31.964,0.0,0.0,Hot,Superterran
HR 858 d,HR 858,d,2,3,0,Transit,2019,Space,Transiting Exoplanet Survey Satellite (TESS),11.23,2.164,5.32,2.88,217,1075,,6201,1.31,1.15,0.371,4.26,,0.717,-63.46905,228.1415,31.964,0.0,0.0,Hot,Superterran
HR 8799 b,HR 8799,b,1,4,0,Imaging,2008,Ground,Gemini Observatory,170000,13,2000,5,,1200,,7204.58,1.49,1.61,0.733,4.3,,0.68153,-35.57511,92.76423,41.2441,0.0,0.0,,Jovian
HR 8799 c,HR 8799,c,1,4,0,Imaging,2008,Ground,Gemini Observatory,69000,13,3000,7.5,,1200,,7204.58,1.49,1.61,0.733,4.3,,0.68153,-35.57511,92.76423,41.2441,0.0,0.0,,Jovian
HR 8799 d,HR 8799,d,1,4,0,Imaging,2008,Ground,W. M. Keck Observatory,37000,13,3000,7.5,,1300,,7204.58,1.49,1.61,0.733,4.3,,0.68153,-35.57511,92.76423,41.2441,0.0,0.0,,Jovian
HR 8799 e,HR 8799,e,1,4,0,Imaging,2010,Ground,W. M. Keck Observatory,20815.6,13.115,3178.3,7.74,,1150,A5,7400,1.49,1.51,0.733,4,0.03,0.68153,-35.57511,92.76423,41.2441,0.0,0.0,,Jovian
HU Aqr AB b,HU Aqr,b,2,2,0,Eclipse Timing Variations,2011,Ground,Yunnan Astronomical Observatory,2390,12.8,1875.197,4.91,,,,,,0.88,,,,,-32.6382,44.76243,,0.0,,,
HU Aqr AB c,HU Aqr,c,2,2,0,Eclipse Timing Variations,2011,Ground,Yunnan Astronomical Observatory,4368,12.9,1430.235,3.66,,,,,,0.88,,,,,-32.6382,44.76243,,0.0,,,
HW Vir b,HW Vir,b,3,1,0,Eclipse Timing Variations,2012,Ground,McDonald Observatory,4640,12.3,4602.90201,13.6,,,,,,0.48,,,,,54.15906,299.934,171.701,0.0,,,
IC 4651 9122 b,IC 4651 9122,b,1,1,0,Radial Velocity,2018,Ground,La Silla Observatory,734,12.7,2002.329,5.37,,,,,,2.1,,2.52,1.14,,-7.917784,340.0766,859.324,0.0,0.0,,Jovian
K2-10 b,K2-10,b,1,1,0,Transit,2015,Space,K2,19.3044,3.84,27,2.6,54.1,703,,5620,0.98,0.92,-0.101,4.5,,1.38,57.71679,261.4284,272.36,0.0,0.0,Hot,Neptunian
K2-100 b,K2-100,b,1,1,0,Transit,2016,Space,K2,1.673833,3.59,12.6,1.5,990,1748,,6168,1.22,1.23,0.25,4.35,0.79,3.217,32.1956,205.2399,188.959,0.0,0.0,Hot,Neptunian
K2-101 b,K2-101,b,1,1,0,Transit,2016,Space,K2,14.677286,2,4.66,3.2,,,,4819,0.73,0.8,-0.595,4.51,0.79,2.92,32.44373,206.8287,188.33,0.0,0.0,Hot,Superterran
K2-102 b,K2-102,b,1,1,0,Transit,2016,Space,K2,9.915615,1.3,2.24,5.6,,,,4695,0.71,0.77,-0.657,4.53,0.79,3.03,32.48427,205.7779,188.175,0.0,0.0,Hot,Terran
K2-104 b,K2-104,b,1,1,0,Transit,2016,Space,K2,1.974238,1.96,4.5,3.28,62.1,,,3546.46,0.49,0.43,-1.434,4.74,0.79,5.56106,32.11238,205.622,189.289,0.0,0.0,Hot,Superterran
K2-105 b,K2-105,b,1,1,0,Transit,2017,Space,K2,8.267704,3.37,30,4.31,,814,,5464,0.91,0.99,-0.189,4.51,0.6,1.541,26.00522,210.5333,197.989,0.0,0.0,Hot,Neptunian
K2-107 b,K2-107,b,1,1,0,Transit,2017,Space,K2,3.313959,15.98,266.9772,0.35,,1649,F9 IV,6061,1.81,1.3,0.601,4.04,4.25,0.457,-11.74312,13.73301,685.2,0.0,0.0,Hot,Jovian
K2-108 b,K2-108,b,1,1,0,Transit,2017,Space,K2,4.733999,5.33,59.4,2.22,762,1360,,5599,1.76,1.17,0.405,4.02,7.8,0.806,25.35178,206.6913,477.295,0.0,0.0,Hot,Neptunian
K2-11 b,K2-11,b,1,1,0,Transit,2015,Space,K2,39.93767,7.55,44.4,0.567,9.84,734,,5433,5.15,1.35,1.32,4.56,,,56.04875,256.6596,329.309,0.0,0.0,Hot,Jovian
K2-110 b,K2-110,b,1,1,0,Transit,2017,Space,K2,13.86387,2.56,16.7,5.2,,575,K3 V,4950,0.71,0.75,-0.567,4.61,8,3.515,48.15318,324.4296,116.474,0.0,0.0,Hot,Neptunian
K2-111 b,K2-111,b,1,1,0,Transit,2017,Space,K2,5.35117,1.9,8.6,6.6,,1309,,5730,1.23,0.88,0.279,4.15,10.77,0.51,-23.5511,170.9781,200.394,0.0,0.0,Hot,Superterran
K2-113 b,K2-113,b,1,1,0,Transit,2017,Space,K2,5.817685,12.14,410.0007,1.97,,1098,G,5660,1.24,1.04,0.009,4.27,5.9,0.987,-55.4092,134.5095,635.722,0.0,0.0,Hot,Jovian
K2-114 b,K2-114,b,1,1,0,Transit,2017,Space,K2,11.391013,10.67,587.9855,2.99,,661,,5044,0.84,0.89,-0.395,4.54,9.9,1.655,27.55077,213.2459,475.758,0.0,0.0,Hot,Jovian
K2-115 b,K2-115,b,1,1,0,Transit,2017,Space,K2,20.272615,12.06,266.9772,0.82,,619,,5657,0.88,0.95,-0.145,4.53,10.7,2.663,26.51648,212.2739,413.591,0.0,0.0,Hot,Jovian
K2-116 b,K2-116,b,1,1,0,Transit,2017,Space,K2,4.655411,0.69,0.257,4.3,78.6,,,4348.35,0.67,0.69,-0.734,4.64,,2.18936,-52.23226,49.9731,49.3855,0.0,0.0,Hot,Subterran
K2-117 b,K2-117,b,1,2,0,Transit,2017,Space,K2,1.2916,2.03,4.78,3.14,145.8,868,M1.0 V,3778,0.51,0.54,-1.357,4.75,,5.297,32.24579,217.6249,101.632,0.0,0.0,Hot,Superterran
K2-117 c,K2-117,c,1,2,0,Transit,2017,Space,K2,5.444017,2.06,4.9,3.08,21.4,537,M1.0 V,3778,0.51,0.54,-1.357,4.75,,5.297,32.24579,217.6249,101.632,0.0,0.0,Hot,Superterran
K2-118 b,K2-118,b,1,1,0,Transit,2017,Space,K2,50.92092,2.54,6.99,2.34,4.3,,,4726.29,0.73,0.76,-0.526,4.53,,2.22691,32.82075,211.1918,321.722,0.0,0.0,Hot,Neptunian
K2-119 b,K2-119,b,1,1,0,Transit,2017,Space,K2,7.727283,2.53,6.94,2.35,54.9,666,,4740,0.71,0.76,-0.685,4.62,,2.251,33.18597,209.7651,365.581,0.0,0.0,Hot,Neptunian
K2-12 b,K2-12,b,1,1,0,Transit,2015,Space,K2,8.28212,2.33,6.04,2.62,310,1003,,5800,1.01,1.01,0.018,4.3,,,58.79134,262.463,326.381,0.0,0.0,Hot,Superterran
K2-120 b,K2-120,b,1,1,0,Transit,2017,Space,K2,9.562742,2.01,4.7,3.18,35.1,,,4349.9,0.67,0.69,-0.842,,,,33.41101,209.5001,,0.0,0.0,Hot,Superterran
K2-121 b,K2-121,b,1,1,0,Transit,2017,Space,K2,5.185761,7.5,43.9,0.572,89.5,723,,4551,0.68,0.72,-0.745,4.63,,6.532,28.93713,206.933,169.398,0.0,0.0,Hot,Jovian
K2-122 b,K2-122,b,2,1,0,Transit,2017,Space,K2,2.219282,1.21,1.92,5.96,79.9,814,,4027,0.6,0.62,-1.102,4.68,,6.939,29.53222,203.781,72.0444,0.0,0.0,Hot,Terran
K2-123 b,K2-123,b,1,1,0,Transit,2017,Space,K2,30.951524,2.76,8.05,2.1,2.9,338,,4035,0.59,0.62,-1.143,4.69,,4.511,36.91408,205.5135,161.555,0.0,0.0,Hot,Neptunian
K2-124 b,K2-124,b,1,1,0,Transit,2017,Space,K2,6.413651,2.9,8.75,1.97,8.7,442,,3570,0.39,0.39,-1.659,4.86,,9.58,36.72585,203.2316,140.385,0.0,0.0,Hot,Neptunian
K2-125 b,K2-125,b,1,1,0,Transit,2017,Space,K2,21.750264,2.18,5.39,2.86,2,,,3654.47,0.4,0.49,-1.641,4.83,,8.77693,46.52214,318.8773,124.156,0.0,0.0,Hot,Superterran
K2-126 b,K2-126,b,1,1,0,Transit,2017,Space,K2,7.385655,1.97,4.54,3.26,35.3,601,,4339,0.65,0.69,-0.878,4.66,,2.903,47.99356,318.5584,102.953,0.0,0.0,Hot,Superterran
K2-127 b,K2-127,b,1,1,0,Transit,2017,Space,K2,3.588163,8.37,52.9,0.496,105.6,809,,4575,0.66,0.72,-0.254,4.65,,2.211,48.89732,324.4018,709.999,0.0,0.0,Hot,Jovian
K2-128 b,K2-128,b,1,1,0,Transit,2017,Space,K2,5.675819,1.42,2.6,4.99,68.8,,,4469.51,0.78,0.71,-0.766,4.7,,3.00478,52.5533,321.9814,114.637,0.0,0.0,Hot,Terran
K2-129 b,K2-129,b,1,1,0,Transit,2017,Space,K2,8.239493,1.04,1.12,5.47,4.5,,,3459.09,0.36,0.36,-1.828,4.87,,10.66281,-16.57279,12.14487,27.7957,0.0,0.0,Hot,Terran
K2-13 b,K2-13,b,1,1,0,Transit,2015,Space,K2,39.91488,1.89,4.23,3.44,22.8,511,,5698,0.78,0.8,-0.238,4.33,,,57.1562,257.6171,342.394,0.0,0.0,Hot,Superterran
K2-130 b,K2-130,b,1,1,0,Transit,2017,Space,K2,2.49412,1.25,2.1,5.91,136.4,,,4356.47,0.74,0.7,-0.776,4.62,,2.72247,-15.17222,18.25716,118.011,0.0,0.0,Hot,Terran
K2-131 b,K2-131,b,1,1,0,Transit,2017,Space,K2,0.36931,1.7,6.3,7.7,,2062,,5245,0.75,0.84,-0.448,4.61,,2.71,51.82621,286.6808,152.509,0.0,0.0,Hot,Superterran
K2-132 b,K2-132,b,1,1,0,Transit,2017,Space,K2,9.1751,14.572,155.7367,0.277,,1586,,4840,3.85,1.08,0.943,3.3,8.5,0.0264,52.65698,285.3342,609.818,0.0,0.0,Hot,Jovian
K2-133 b,K2-133,b,1,4,0,Transit,2017,Space,K2,3.07133,1.34,2.36,5.39,,,M1.5 V,3655,0.46,0.46,-1.479,,,,-14.06809,174.7534,75.1703,0.0,0.0,Hot,Terran
K2-133 c,K2-133,c,1,4,0,Transit,2017,Space,K2,4.86784,1.603,3.2,4.27,,,M1.5 V,3655,0.46,0.46,-1.479,,,,-14.06809,174.7534,75.1703,0.0,0.0,Hot,Superterran
K2-133 d,K2-133,d,1,4,0,Transit,2017,Space,K2,11.02454,2.003,4.67,3.19,,,M1.5 V,3655,0.46,0.46,-1.479,,,,-14.06809,174.7534,75.1703,0.0,0.0,Hot,Superterran
