pl_name,host_star,pl_ltr,sys_stars,sys_planets,sys_moons,disc_method,disc_year,disc_location,disc_facility,orb_period,pl_radius_e,pl_mass_e,pl_density,pl_insol,pl_temp_k,st_type,st_temp_k,st_radius_s,st_mass_s,st_bright,st_gravity,st_age,st_density,ga_lat,ga_long,distance,habit_code,P_HABZONE,P_TYPE_TEMP,P_TYPE
Kepler-228 c,Kepler-228,c,1,3,0,Transit,2014,Space,Kepler,4.134444,2.7,7.75,2.16,457.32,1160.0,,6043.0,1.01,0.95,0.111,4.47,0.3,0.30732,11.67615,81.50265999999999,1644.61,0.0,0.0,Hot,Neptunian
Kepler-228 d,Kepler-228,d,1,3,0,Transit,2014,Space,Kepler,11.094286,4.04,15.4,1.28,122.78,835.0,,6043.0,1.01,0.95,0.111,4.47,0.3,1.00902,11.67615,81.50265999999999,1644.61,0.0,0.0,Hot,Neptunian
Kepler-229 b,Kepler-229,b,1,3,0,Transit,2014,Space,Kepler,6.252972,2.2,5.48,2.83,76.22,823.0,,5120.0,0.73,0.8,-0.5379999999999999,4.63,1.1,3.1646400000000003,17.34816,78.97780999999999,826.265,0.0,0.0,Hot,Superterran
Kepler-229 c,Kepler-229,c,1,3,0,Transit,2014,Space,Kepler,16.068638,4.92,21.5,0.992,21.64,600.0,,5120.0,0.73,0.8,-0.5379999999999999,4.63,1.1,3.66603,17.34816,78.97780999999999,826.265,0.0,0.0,Hot,Neptunian
Kepler-229 d,Kepler-229,d,1,3,0,Transit,2014,Space,Kepler,41.194912,3.85,14.2,1.37,6.16,439.0,,5120.0,0.73,0.8,-0.5379999999999999,4.63,1.1,3.9471,17.34816,78.97780999999999,826.265,0.0,0.0,Hot,Neptunian
Kepler-23 b,Kepler-23,b,1,3,0,Transit,2011,Space,Kepler,7.1073,1.9,254.3,,446.11,1157.0,,5760.0,1.52,1.11,0.36200000000000004,4.0,6.0,0.45155,13.457989999999999,82.01369,835.7560000000001,0.0,0.0,Hot,Jovian
Kepler-23 c,Kepler-23,c,1,3,0,Transit,2011,Space,Kepler,10.7421,3.2,858.1,,257.39,1008.0,,5760.0,1.52,1.11,0.36200000000000004,4.0,6.0,0.42988999999999994,13.457989999999999,82.01369,835.7560000000001,0.0,0.0,Hot,Jovian
Kepler-23 d,Kepler-23,d,1,3,0,Transit,2014,Space,Kepler,15.274299,2.2,17.6,9.08,161.04,896.0,,5828.0,1.55,1.1,0.39799999999999996,4.09,6.61,0.5413,13.457989999999999,82.01369,835.7560000000001,0.0,0.0,Hot,Superterran
Kepler-230 b,Kepler-230,b,1,2,0,Transit,2014,Space,Kepler,32.625555,4.26,16.8,1.19,11.82,506.0,,5588.0,0.82,0.84,-0.368,4.55,1.8,2.79093,18.18768,78.78369,740.7539999999999,0.0,0.0,Hot,Neptunian
Kepler-230 c,Kepler-230,c,1,2,0,Transit,2014,Space,Kepler,91.77324200000001,2.04,4.82,3.12,2.98,359.0,,5588.0,0.82,0.84,-0.368,4.55,1.8,2.6883,18.18768,78.78369,740.7539999999999,0.0,0.0,Hot,Superterran
Kepler-231 b,Kepler-231,b,1,2,0,Transit,2014,Space,Kepler,10.065275,1.73,35.4,37.6,14.88,488.0,,3767.0,0.49,0.58,-1.036,4.78,3.47,33.27197,14.061420000000002,82.91646,316.618,0.0,0.0,Hot,Superterran
Kepler-231 c,Kepler-231,c,1,2,0,Transit,2014,Space,Kepler,19.271566,1.93,24.1,18.4,6.27,393.0,M1 V,3767.0,0.49,0.58,-1.036,4.78,3.47,7.16212,14.061420000000002,82.91646,316.618,0.0,0.0,Hot,Superterran
Kepler-232 b,Kepler-232,b,1,2,0,Transit,2014,Space,Kepler,4.431222,3.08,9.69,1.82,410.58,1104.0,,5847.0,0.97,0.97,0.052000000000000005,4.5,1.4,1.33259,13.280870000000002,83.99266,1349.13,0.0,0.0,Hot,Neptunian
Kepler-232 c,Kepler-232,c,1,2,0,Transit,2014,Space,Kepler,11.379349000000001,3.83,14.0,1.37,116.52,806.0,,5847.0,0.97,0.97,0.052000000000000005,4.5,1.4,1.02292,13.280870000000002,83.99266,1349.13,0.0,0.0,Hot,Neptunian
Kepler-233 b,Kepler-233,b,1,2,0,Transit,2014,Space,Kepler,8.472382000000001,2.43,6.48,2.48,85.13,751.0,,5360.0,0.76,0.85,-0.32799999999999996,4.61,0.6,3.8632800000000005,13.06446,84.33496,856.4169999999999,0.0,0.0,Hot,Superterran
Kepler-233 c,Kepler-233,c,1,2,0,Transit,2014,Space,Kepler,60.418955000000004,2.71,7.8,2.15,6.2,390.0,,5360.0,0.76,0.85,-0.32799999999999996,4.61,0.6,4.2644400000000005,13.06446,84.33496,856.4169999999999,0.0,0.0,Hot,Neptunian
Kepler-234 b,Kepler-234,b,1,2,0,Transit,2014,Space,Kepler,2.711506,3.7,13.2,1.43,1007.72,1420.0,,6224.0,1.11,1.11,0.24,4.42,3.47,0.9161799999999999,10.2143,71.12595999999999,1733.1,0.0,0.0,Hot,Neptunian
Kepler-234 c,Kepler-234,c,1,2,0,Transit,2014,Space,Kepler,7.21205,3.51,12.1,1.54,273.3,1025.0,,6224.0,1.11,1.11,0.24,4.42,3.47,0.9986700000000001,10.2143,71.12595999999999,1733.1,0.0,0.0,Hot,Neptunian
Kepler-235 b,Kepler-235,b,1,4,0,Transit,2014,Space,Kepler,3.3402220000000002,2.23,5.6,4.82,44.0,731.0,M0 V,4255.0,0.55,0.58,-1.102,4.73,6.0,4.14,14.47666,69.97325,428.01800000000003,0.0,0.0,Hot,Superterran
Kepler-235 c,Kepler-235,c,1,4,0,Transit,2014,Space,Kepler,7.824903999999999,1.28,2.18,4.82,14.2,555.0,,4255.0,0.55,0.58,-1.102,4.73,6.0,4.14,14.47666,69.97325,428.01800000000003,0.0,0.0,Hot,Terran
Kepler-235 d,Kepler-235,d,1,4,0,Transit,2014,Space,Kepler,20.060548,2.05,4.86,4.82,4.03,401.0,M0 V,4255.0,0.55,0.58,-1.102,4.73,6.0,4.14,14.47666,69.97325,428.01800000000003,0.0,0.0,Hot,Superterran
Kepler-235 e,Kepler-235,e,1,4,0,Transit,2014,Space,Kepler,46.183669,2.22,5.56,4.82,1.33,306.0,M0 V,4255.0,0.55,0.58,-1.102,4.73,6.0,4.14,14.47666,69.97325,428.01800000000003,0.0,0.0,Hot,Superterran
Kepler-236 b,Kepler-236,b,1,2,0,Transit,2014,Space,Kepler,8.295611,1.57,3.09,4.39,15.63,469.0,,3750.0,0.51,0.6,-1.229,4.75,3.16,3.70571,16.28889,69.8833,288.763,0.0,0.0,Hot,Superterran
Kepler-236 c,Kepler-236,c,1,2,0,Transit,2014,Space,Kepler,23.968127,2.0,4.66,3.2,3.8,329.0,M1 V,3750.0,0.51,0.6,-1.229,4.75,3.16,3.70571,16.28889,69.8833,288.763,0.0,0.0,Hot,Superterran
Kepler-237 b,Kepler-237,b,1,2,0,Transit,2014,Space,Kepler,4.715106,1.41,2.57,5.04,124.96,823.0,,4861.0,0.72,0.7,-0.47700000000000004,4.58,13.8,2.4235900000000004,16.94087,70.20012,657.822,0.0,0.0,Hot,Terran
Kepler-237 c,Kepler-237,c,1,2,0,Transit,2014,Space,Kepler,8.103636,2.08,4.98,3.04,60.64,687.0,,4861.0,0.72,0.7,-0.47700000000000004,4.58,13.8,1.97075,16.94087,70.20012,657.822,0.0,0.0,Hot,Superterran
Kepler-238 b,Kepler-238,b,1,5,0,Transit,2014,Space,Kepler,2.0908759999999997,1.73,3.64,3.86,2500.59,1642.0,,5751.0,1.43,1.06,0.43,4.19,6.76,0.45192,13.748920000000002,71.83506,1798.75,0.0,0.0,Hot,Superterran
Kepler-238 c,Kepler-238,c,1,5,0,Transit,2014,Space,Kepler,6.155557,2.39,6.3,2.54,592.3,1146.0,,5751.0,1.43,1.06,0.43,4.19,6.76,0.40662,13.748920000000002,71.83506,1798.75,0.0,0.0,Hot,Superterran
Kepler-238 d,Kepler-238,d,1,5,0,Transit,2014,Space,Kepler,13.233548999999998,3.07,9.64,1.83,213.48,888.0,,5751.0,1.43,1.06,0.43,4.19,6.76,0.3884,13.748920000000002,71.83506,1798.75,0.0,0.0,Hot,Neptunian
Kepler-238 e,Kepler-238,e,1,5,0,Transit,2013,Space,Kepler,23.654,5.6,169.7,5.31,98.46,731.0,,5732.0,0.96,1.06,0.43,4.49,6.76,0.41907,13.748920000000002,71.83506,1798.75,0.0,0.0,,Jovian
Kepler-238 f,Kepler-238,f,1,5,0,Transit,2013,Space,Kepler,50.446999999999996,2.0,13.5,9.27,35.87,568.0,,5732.0,0.96,1.06,0.43,4.49,6.76,0.9779399999999999,13.748920000000002,71.83506,1798.75,0.0,0.0,,Neptunian
Kepler-239 b,Kepler-239,b,1,2,0,Transit,2014,Space,Kepler,11.763050999999999,2.33,6.04,2.62,34.75,616.0,,4914.0,0.76,0.76,-0.475,4.58,3.31,4.37951,9.459442999999998,73.99493000000001,648.109,0.0,0.0,Hot,Superterran
Kepler-239 c,Kepler-239,c,1,2,0,Transit,2014,Space,Kepler,56.228097999999996,2.51,6.85,2.38,4.32,366.0,,4914.0,0.76,0.76,-0.475,4.58,3.31,13.12235,9.459442999999998,73.99493000000001,648.109,0.0,0.0,Hot,Neptunian
Kepler-24 b,Kepler-24,b,1,4,0,Transit,2011,Space,Kepler,8.1453,2.4,508.5,,252.25,1050.0,,5800.0,1.07,1.03,0.258,4.34,7.7,0.02385,11.018310000000001,70.5499,1156.81,0.0,0.0,Hot,Jovian
Kepler-24 c,Kepler-24,c,1,4,0,Transit,2011,Space,Kepler,12.3335,2.8,508.5,,144.83,915.0,,5800.0,1.07,1.03,0.258,4.34,7.7,0.01122,11.018310000000001,70.5499,1156.81,0.0,0.0,Hot,Jovian
Kepler-24 d,Kepler-24,d,1,4,0,Transit,2014,Space,Kepler,4.244383999999999,1.67,3.43,4.05,601.89,1305.0,,5897.0,1.29,0.98,0.258,4.2,5.2,0.7536,11.018310000000001,70.5499,1156.81,0.0,0.0,Hot,Superterran
Kepler-24 e,Kepler-24,e,1,4,0,Transit,2014,Space,Kepler,18.998355,2.78,8.15,2.08,81.51,792.0,,5897.0,1.29,0.98,0.258,4.2,5.2,6.38853,11.018310000000001,70.5499,1156.81,0.0,0.0,Hot,Neptunian
Kepler-240 b,Kepler-240,b,1,2,0,Transit,2014,Space,Kepler,4.144495,1.37,2.45,5.24,142.74,864.0,,4985.0,0.74,0.75,-0.524,4.63,0.9,2.49621,11.556230000000001,73.01256,746.927,0.0,0.0,Hot,Terran
Kepler-240 c,Kepler-240,c,1,2,0,Transit,2014,Space,Kepler,7.9535279999999995,2.2,102.3,52.8,59.84,696.0,,4985.0,0.74,0.75,-0.524,4.63,0.9,3.48717,11.556230000000001,73.01256,746.927,0.0,0.0,Hot,Superterran
Kepler-241 b,Kepler-241,b,1,2,0,Transit,2014,Space,Kepler,12.718092,2.33,6.04,2.62,23.6,562.0,,4699.0,0.67,0.67,-0.7070000000000001,4.63,13.9,2.98907,10.50789,73.8981,,0.0,0.0,Hot,Superterran
Kepler-241 c,Kepler-241,c,1,2,0,Transit,2014,Space,Kepler,36.065978,2.57,7.13,2.31,5.88,397.0,,4699.0,0.67,0.67,-0.7070000000000001,4.63,13.9,3.7845199999999997,10.50789,73.8981,,0.0,0.0,Hot,Neptunian
